1879 Amedee-Bollee Marie-Anne | Speed | 18 kmph
1879 Amedee-Bollee Marie-Anne | Drive | rear
1899 Opel Lutzman | Price | 2650 DM
1899 Opel Lutzman | Price | 3800 DM
1899 Opel Lutzman | Count | 65
1899 Opel Lutzman | Volume | 1545 cc
1899 Opel Lutzman | Cylinders | 1
1899 Opel Lutzman | Power | 3.5 hp
1899 Opel Lutzman | Speed | 20 kmph
1899 Opel Lutzman | Fuel consumption | 10 L/100km
1901 Opel Darracq | Price | 5900 DM
1901 Opel Darracq | Volume | 1281 cc
1901 Opel Darracq | Cylinders | 1
1901 Opel Darracq | Power | 9 hp
1901 Opel Darracq | Speed | 45 kmph
1901 Opel Darracq | Fuel consumption | 8.5 L/100km
1901 Opel Darracq | Weight | 550 kg
1901 Opel Darracq | Length | 2150 mm
1901 Opel Darracq | Gears | 3
1902 Opel Darracq | Volume | 1885 cc
1902 Opel Darracq | Cylinders | 2
1902 Opel Darracq | Power | 12 hp
1902 Opel Darracq | Speed | 45 kmph
1902 Opel Darracq | Gears | 3
1902 Opel Darracq 1902-1907 | Price | 5000 DM
1902 Opel Darracq 1902-1907 | Count | 1902 64
1902 Opel Darracq 1902-1907 | Count | 1903 178
1902 Opel Darracq 1902-1907 | Count | 1904 244
1902 Opel Darracq 1902-1907 | Volume | 1470 cc
1903-01 Cadillac A | Cylinders | 1
1903-01 Cadillac A | Power | 10 hp
1904 Cadillac D | Cylinders | 4
1904 Cadillac D | Power | 30 hp
1904 Cadillac D | Speed | 80 kmph
1904 Opel Darracq | Price | 11000 DM
1904 Opel Darracq | Price | 8000 DM
1904 Opel Darracq | Volume | 2365 cc
1904 Opel Darracq | Volume | 3 L
1904 Opel Darracq | Volume | 3054 cc
1904 Opel Darracq | Cylinders | 2
1904 Opel Darracq | Cylinders | 4
1904 Opel Darracq | Power | 14 hp
1904 Opel Darracq | Power | 18 hp
1904 Opel Darracq | Speed | 50 kmph
1904 Opel Darracq | Speed | 60 kmph
1904 Opel Darracq | Fuel consumption | 6.5 L/100km
1904 Opel Darracq | Weight | 900 kg
1904 Opel Rennwagen | Cylinders | 4
1904 Opel Rennwagen | Power | 100 hp
1909 Cadillac 30 | Cylinders | 4
1909 Cadillac 30 | Gears | 3
1909 Opel 4/8 Doctorwagen | Count | 1556
1909 Opel 4/8 Doctorwagen | Volume | 1029 cc
1909 Opel 4/8 Doctorwagen | Cylinders | 4
1909 Opel 4/8 Doctorwagen | Power | 8 hp @ 1600 rpm
1909 Opel 4/8 Doctorwagen | Weight | 525 kg
1910 Audi 1910 | Volume | 2.6 L
1910 Audi 1910 | Cylinders | 4
1910 Audi 1910 | Power | 22 hp
1913 Opel Rennwagen | Count | 3
1913 Opel Rennwagen | Cylinders | 4
1913 Opel Rennwagen | Power | 110 hp
1913 Opel Rennwagen | Valves per cylinder | 4
1914 Aston Martin | Volume | 1.4 L
1914 Bugatti 13 | Speed | 100 kmph
1914 Opel Rennwagen | Volume | 12.3 L
1914 Opel Rennwagen | Cylinders | 4
1914 Opel Rennwagen | Power | 260 hp
1914 Opel Rennwagen | Speed | 228 kmph
1915 Cadillac 51 | Volume | 5.1 L
1915 Cadillac 51 | Cylinders | V8
1915 Cadillac 51 | Power | 70 hp
1915 Cadillac 51 | Speed | 100 kmph
1919 Hispano-Suiza H6B | Volume | 6597 cc
1919 Hispano-Suiza H6B | Cylinders | R6
1919 Hispano-Suiza H6B | Power | 135 hp
1919 Hispano-Suiza H6B | Speed | 137 kmph
1919 Hispano-Suiza H6B | Length | 4826 mm
1919 Hispano-Suiza H6B | Seats | 7
1919 Hispano-Suiza H6B | Gears | 3 manual
1924 Hanomag Kleinwagen | Volume | 499 cc
1924 Hanomag Kleinwagen | Cylinders | 1
1924 Hanomag Kleinwagen | Power | 10 hp
1924 Hanomag Kleinwagen | Speed | 65 kmph
1924 Hanomag Kleinwagen | Weight | 370 kg
1924 Hanomag Kleinwagen | Engine placement | rear
1924 Hanomag Kommisbrot | Volume | 499 cc
1924 Hanomag Kommisbrot | Cylinders | 1
